#This ducoment lists the peering ASes of Hurricane Electric via IXP at each border router.
#Format:
#border router|peering ASN,<list of neighbor addresses (separated by comma)>
ash1|63440,206.126.237.147,206.126.237.154
ash1|27630,206.126.237.157
ash1|25751,206.53.170.17,206.53.170.18,206.126.237.159,206.126.237.160
ash1|63242,206.126.237.161
ash1|17012,206.126.237.162,206.126.237.163
ash1|26667,206.126.237.164,206.126.237.165
ash1|17978,206.126.237.166
ash1|8403,206.126.237.167
ash1|54113,206.126.237.168,206.126.237.169
ash1|25180,206.126.237.170
ash1|11758,206.126.237.171
ash1|30517,206.126.237.172
ash1|57976,206.126.237.174
ash1|64208,206.126.237.176
ash1|394497,206.126.237.77,206.126.237.178
ash1|21928,206.126.237.181
ash1|45102,206.126.237.184
ash1|33445,206.126.237.187
ash1|46489,206.126.236.193,206.126.237.193
ash1|55219,206.126.237.194,206.126.237.195
ash1|8309,206.126.237.197
ash1|11686,206.126.237.198
ash1|36459,206.126.237.27,206.126.237.205
ash1|49544,206.126.237.210
ash1|8757,206.126.237.214
ash1|297,206.126.237.220
ash1|32590,206.126.237.32,206.126.237.222
ash1|395363,206.126.237.223,206.126.237.224
ash1|64213,206.126.237.227
ash1|40526,206.126.237.246,206.126.237.247
ash1|12085,206.126.237.248,206.126.237.249
ash1|14860,206.126.238.1
ash1|46450,206.126.238.2
